"id","subSaga","charactersGood","charactersBad","info","anime","extra","startAngle"
1,"Raditz Saga","Piccolo","Raditz","","","This was hardly a fight, but merely Piccolo attacking Raditz. The Saiyan was about to destroy the Namek when his scouter located Goku, so he flew off to find his brother",180
2,"Raditz Saga","Krillin","Raditz","","","Krillin tried to attack Raditz, but was knocked down just by a swipe of Raditz's tail",180
3,"Raditz Saga","Goku","Raditz","","","Raditz kneed Goku in the stomach, kidnapped Gohan and told Goku to kill 100 people or he would kill Gohan",180
4,"Raditz Saga","Goku, Piccolo and Gohan","Raditz","","","The first major DBZ fight in which Raditz is finally killed (together with Goku who was holding Raditz in place) when Piccolo fired a beam through them both",90
5,"Vegeta Saga","Tien Shinhan","Yamcha","training","","Training before the Saiyans arrive on Kami's lookout",180
6,"Vegeta Saga","Krillin","Yajirobe","training","","Training before the Saiyans arrive on Kami's lookout - although Yajirobe wasn't really trying",180
7,"Vegeta Saga","Tien Shinhan, Yamcha, Krillin, and Chiaotzu","Shorty and Scarface","","anime only","",90
8,"Vegeta Saga","Piccolo","Clone Piccolo","","anime only","",180
9,"Vegeta Saga","Piccolo","Gohan (Great Ape)","","","This was only the first time Gohan sees a full moon and thus turns into a giant destructive ape. Piccolo destroys the moon to turn Gohan back to normal",180
10,"Vegeta Saga","Piccolo","Gohan","training","","After surviving on his own for 6 months, Piccolo decides to train Gohan",180
11,"Vegeta Saga","Tien Shinhan","Saibaman","","","Tien easily defeated the 'grown' Saibaman (who had the same power level as Raditz)",180
12,"Vegeta Saga","Yamcha","Saibaman","","","The Saibaman who self destructs while holding Yamcha, killing them both",180
13,"Vegeta Saga","Krillin","4 Saibamen","","","Enraged by Yamcha's death Krillin takes on all 4 remaining Saibamen and kills 3 of them in a single blast",180
14,"Vegeta Saga","Piccolo","Saibaman","","","Trying to go for Gohan, the last Saibaman is caught by Piccolo and disintegrated",180
15,"Vegeta Saga","Tien Shinhan","Nappa","","","No matter how much Tien fights he is no match for Nappa and even gets his hand cut off",180
16,"Vegeta Saga","Chiaotzu","Nappa","","","Clinging to Nappa's back he self destructs to protect Tien, but Nappa is barely scratched",180
17,"Vegeta Saga","Piccolo, Krillin, and Gohan","Nappa","","","Piccolo is killed when he jumps in front of a blast that is shot at Gohan",90
18,"Vegeta Saga","Goku","Nappa","","","Goku finally arrives and makes a fool out of Nappa by breaking his back (Vegeta consequently kills the useless Nappa)",180
19,"Vegeta Saga","Goku","Vegeta","","","The second great fight in DBZ - with Goku's new kai-o-ken technique they are evenly matched with punches flying back and forth",180
20,"Vegeta Saga","Goku","Vegeta (Great Ape)","","","Vegeta throws a fake moon into the air and transforms into a Great Ape, still being aware of himself and continues to crush Goku badly",180
21,"Vegeta Saga","Gohan, Krillin, and Yajirobe","Vegeta (Great Ape)","","","Vegeta's Great Ape state is finally brought down when Yajirobe cuts of Vegeta's tail",90
22,"Vegeta Saga","Gohan","Vegeta","","","The weakened Vegeta and very angry Gohan fight in a match that is finally even between the two",180
23,"Vegeta Saga","Goku, Krillin, and Gohan","Vegeta","","","Goku uses his 2nd new technique and creates a Spirit Bomb that Krillin eventually throws at Vegeta",90
24,"Vegeta Saga","Yajirobe","Vegeta","","","Angered with the guy who cut off his tail, Vegeta beats up Yajirobe",180
25,"Vegeta Saga","Gohan (Great Ape)","Vegeta","","","Gohan looks up at the fake moon and transforms into a Great Ape and beats up Vegeta. Vegeta eventually slices off the tail, but is finally defeated",180
26,"Namek Saga","Krillin and Gohan","Banan and Sui","","","Frieza's henchmen are easily dealt with",135
27,"Namek Saga","Vegeta","Cui","","","Thinking himself much stronger, Cui follows Vegeta to Namek, however he is killed in just one blast by Vegeta",180
28,"Namek Saga","Namekians","Zarbon and Dodoria","","","Many Namekians are killed in Frieza's attempts to locate the Dragon Balls",90
