"week","hits","word"
"2012-01-01",78,"beautiful"
"2012-01-08",75,"beautiful"
"2012-01-15",77,"beautiful"
"2012-01-22",77,"beautiful"
"2012-01-29",76,"beautiful"
"2012-02-05",78,"beautiful"
"2012-02-12",77,"beautiful"
"2012-02-19",77,"beautiful"
"2012-02-26",77,"beautiful"
"2012-03-04",80,"beautiful"
"2012-03-11",78,"beautiful"
"2012-03-18",81,"beautiful"
"2012-03-25",80,"beautiful"
"2012-04-01",85,"beautiful"
"2012-04-08",84,"beautiful"
"2012-04-15",84,"beautiful"
"2012-04-22",85,"beautiful"
"2012-04-29",88,"beautiful"
"2012-05-06",85,"beautiful"
"2012-05-13",84,"beautiful"
"2012-05-20",83,"beautiful"
"2012-05-27",84,"beautiful"
"2012-06-03",84,"beautiful"
"2012-06-10",84,"beautiful"
"2012-06-17",84,"beautiful"
"2012-06-24",86,"beautiful"
"2012-07-01",84,"beautiful"
"2012-07-08",86,"beautiful"
"2012-07-15",88,"beautiful"
"2012-07-22",88,"beautiful"
"2012-07-29",88,"beautiful"
"2012-08-05",84,"beautiful"
"2012-08-12",92,"beautiful"
"2012-08-19",93,"beautiful"
"2012-08-26",93,"beautiful"
"2012-09-02",93,"beautiful"
"2012-09-09",97,"beautiful"
"2012-09-16",100,"beautiful"
"2012-09-23",95,"beautiful"
"2012-09-30",92,"beautiful"
"2012-10-07",88,"beautiful"
"2012-10-14",86,"beautiful"
"2012-10-21",88,"beautiful"
"2012-10-28",84,"beautiful"
"2012-11-04",83,"beautiful"
"2012-11-11",87,"beautiful"
"2012-11-18",83,"beautiful"
"2012-11-25",83,"beautiful"
"2012-12-02",86,"beautiful"
"2012-12-09",83,"beautiful"
"2012-12-16",84,"beautiful"
"2012-12-23",90,"beautiful"
"2012-12-30",90,"beautiful"
"2013-01-06",84,"beautiful"
"2013-01-13",86,"beautiful"
"2013-01-20",87,"beautiful"
"2013-01-27",86,"beautiful"
"2013-02-03",89,"beautiful"
"2013-02-10",96,"beautiful"
"2013-02-17",98,"beautiful"
"2013-02-24",92,"beautiful"
"2013-03-03",88,"beautiful"
"2013-03-10",85,"beautiful"
"2013-03-17",84,"beautiful"
"2013-03-24",85,"beautiful"
"2013-03-31",85,"beautiful"
"2013-04-07",83,"beautiful"
"2013-04-14",86,"beautiful"
"2013-04-21",94,"beautiful"
"2013-04-28",95,"beautiful"
"2013-05-05",97,"beautiful"
"2013-05-12",98,"beautiful"
"2013-05-19",99,"beautiful"
"2013-05-26",96,"beautiful"
"2013-06-02",95,"beautiful"
"2013-06-09",93,"beautiful"
"2013-06-16",93,"beautiful"
"2013-06-23",93,"beautiful"
"2013-06-30",94,"beautiful"
"2013-07-07",93,"beautiful"
"2013-07-14",91,"beautiful"
"2013-07-21",92,"beautiful"
"2013-07-28",90,"beautiful"
"2013-08-04",90,"beautiful"
"2013-08-11",90,"beautiful"
"2013-08-18",88,"beautiful"
"2013-08-25",85,"beautiful"
"2013-09-01",84,"beautiful"
"2013-09-08",83,"beautiful"
"2013-09-15",83,"beautiful"
"2013-09-22",83,"beautiful"
"2013-09-29",83,"beautiful"
"2013-10-06",82,"beautiful"
"2013-10-13",85,"beautiful"
"2013-10-20",83,"beautiful"
"2013-10-27",83,"beautiful"
"2013-11-03",84,"beautiful"
"2013-11-10",83,"beautiful"
"2013-11-17",84,"beautiful"
"2013-11-24",82,"beautiful"
"2013-12-01",83,"beautiful"
"2013-12-08",84,"beautiful"
"2013-12-15",83,"beautiful"
"2013-12-22",87,"beautiful"
"2013-12-29",87,"beautiful"
"2014-01-05",83,"beautiful"
"2014-01-12",84,"beautiful"
"2014-01-19",80,"beautiful"
"2014-01-26",83,"beautiful"
"2014-02-02",88,"beautiful"
"2014-02-09",82,"beautiful"
"2014-02-16",81,"beautiful"
"2014-02-23",81,"beautiful"
"2014-03-02",82,"beautiful"
